810604,812077,n
813523,815195,n
832456,834183,i
847912,849799,i
851700,853478,i
855369,857266,i
858836,860699,i
862331,869890,a
870493,873485,b
874557,881385,c
882455,889794,d
891292,898760,a
899667,902537,b
903695,910584,c
911735,919205,d
920852,928289,a
929124,932076,b
933203,940346,c
941537,949030,d
950858,958230,a
959030,962265,b
963231,970008,c
971241,978809,d
980392,988066,a
989046,992176,b
993160,1000039,c
1020083,1021902,i
1023607,1031075,a
1031796,1035108,b
1035926,1042946,c
1044020,1051412,d
1073400,1075338,i
1077244,1084860,a
1085586,1088578,b
1089484,1096361,c
1097569,1105039,d
1106425,1113943,a
1114824,1117847,b
1119090,1126068,c
1127164,1134663,d
1150729,1151973,n
1169292,1172787,i
1174999,1176966,i
1178882,1186308,a
1187062,1190320,b
1191103,1197940,c
1199282,1206724,d
1208373,1216049,a
1216811,1219902,b
1221183,1228253,c
1310131,1310775,n
1336276,1339457,n
1340626,1342010,n
1357748,1359499,i
1361396,1363157,i
1364916,1366909,i
1368494,1376042,a
1376677,1379918,b
1380721,1387704,c
1388659,1396204,d
1397769,1405188,a
1406113,1409190,b
1410285,1417223,c
1418511,1426129,n
1433318,1435101,i
1436771,1444493,a
1445333,1448344,b
1449452,1456439,c
1478124,1479962,i
1481986,1489477,a
1490216,1493257,b
1494237,1501293,c
1502392,1509808,d
1515485,1517430,i
1519645,1527165,a
1528067,1531142,b
1532231,1539165,c
1657213,1657888,n
1698784,1699767,n
1709036,1710469,n
1711709,1714075,n
1714387,1716914,n
1737189,1739094,i
1743449,1750501,n
1751398,1758101,n
1765379,1767242,i
1769039,1776491,a
1777109,1780317,b
1781148,1787991,c
1789062,1796431,d
1797733,1805267,a
1806145,1809233,b
1810344,1817287,c
1837348,1839178,i
1841187,1848731,a
1849377,1852545,b
1853262,1860432,c
1861399,1868791,d
1918257,1919721,i
1972054,1973094,n
1974227,1975757,i
1976281,1977133,n
1977727,1978943,n
2018323,2021605,n
2037571,2042876,n
2052855,2054906,i
2056324,2058259,i
2059835,2061757,i
2063105,2070629,a
2071199,2074414,b
2075184,2082074,c
2083103,2090590,d
2092052,2099728,a
2100555,2103674,b
2104904,2111925,c
2113105,2120710,d
2122736,2130439,a
2131306,2134505,b
2135559,2142379,c
